id,installment,emp_length,annual_inc,dti,acc_now_delinq,delinq_amnt,delinq_2yrs,inq_last_6mths,salary_verified,delinq_before,interest_rate,credit_length,fico_score,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding,home_ownership_OWN,home_ownership_RENT,default
46784852,550.2,10.0,125000.0,9.87,0,0,0,0,1.0,0.0,32.048,0,722.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
74141695,405.68,8.0,70000.0,17.76,0,0,0,0,1.0,1.0,41.44774818401937,0,677.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0
46641374,263.93,4.0,82000.0,15.82,0,0,0,0,1.0,0.0,18.768499999999992,21,677.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0
16493458,410.08,3.0,40000.0,19.14,0,0,0,2,1.0,0.0,23.023999999999994,0,682.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
46918572,692.01,0.0,53000.0,22.42,0,0,0,1,1.0,0.0,30.602149410222804,24,672.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0
65605088,669.46,9.0,83000.0,12.7,0,0,0,1,1.0,1.0,14.764571428571434,39,692.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
46661540,510.6,2.0,56000.0,33.5,0,0,0,0,1.0,0.0,53.18,19,672.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
57217227,219.94,3.0,38000.0,28.3,0,0,0,0,0.0,1.0,13.112000000000002,0,667.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0
38528952,87.39,6.0,50000.0,29.15,0,0,0,0,1.0,1.0,25.8416,20,702.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0
41910408,450.96,4.0,75000.0,14.72,0,0,0,2,1.0,1.0,69.10999999999999,0,672.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
